region number,Sr/Ca,Age
4,1.64,146.3
4,1.73,146.3
4,1.30,146.3
4,1.51,146.5
4,1.95,146.5
4,1.50,146.5
4,1.49,146.7
4,1.68,146.7
4,1.80,146.7
4,1.43,146.7
4,1.51,147
4,1.46,147
4,1.46,147
4,1.54,147
4,1.73,147
4,1.64,147
4,1.64,147.2
4,1.68,147.2
4,1.49,147.2
4,1.60,147.2
4,1.71,148.1
4,1.71,148.1
4,2.07,148.1
4,1.71,151.6
4,1.79,151.6
4,1.98,151.6
4,1.59,155.8
4,1.70,155.8
4,1.67,155.8
4,1.52,158
4,1.83,158
4,1.68,158
4,1.20,158.3
4,1.20,158.3
4,1.04,158.3
4,1.12,162
4,1.14,162
4,0.98,162
4,1.18,162.7
4,1.21,162.7
4,1.07,162.7
4,0.93,162.7
4,0.94,162.7
4,0.93,162.7
4,0.94,162.7
4,1.34,163.4
4,1.28,163.4
4,1.16,163.4
4,1.25,163.4
4,1.30,163.4
4,1.27,163.4
4,1.35,163.4
4,1.21,163.4
4,1.21,163.4
4,1.11,163.4
4,1.04,163.4
4,1.13,163.4
4,1.26,163.4
4,1.14,163.4
4,1.17,163.4
4,1.20,163.7
4,1.22,163.7
4,1.25,163.7
4,1.34,163.7
4,1.54,163.7
4,1.46,163.7
4,1.28,164.2
4,1.10,164.2
4,1.12,164.2
4,1.51,164.2
4,1.31,164.2
4,1.41,164.2
4,1.13,164.2
4,1.39,165.4
4,1.29,165.4
4,1.23,165.4
4,1.32,165.8
4,1.39,165.8
4,1.23,165.8
4,1.32,166.6
4,1.32,166.6
4,1.21,166.6
4,1.28,166.6
4,1.48,166.6
4,1.23,166.6
4,1.51,167.1
4,1.48,167.1
4,1.27,167.1
4,1.40,167.1
4,1.17,167.1
4,1.33,167.1
4,1.33,167.1
4,1.37,167.1
4,1.43,167.1
4,1.27,167.1
4,1.29,167.1
4,1.16,167.6
4,1.26,167.6
4,1.15,167.6
4,1.45,167.6
4,1.41,167.6
4,1.24,167.6
4,1.19,167.6
4,1.25,167.6
4,1.27,167.6
4,1.19,167.6
4,1.24,167.6
4,1.25,167.6
4,1.22,167.6
4,1.24,167.9
4,1.22,167.9
4,1.37,167.9
4,1.28,167.9
4,1.42,168.7
4,1.44,168.7
4,1.45,168.7
4,1.37,168.7
4,1.33,168.7
4,1.41,168.7
4,1.36,168.7
4,1.68,168.7
4,1.26,168.7
4,1.35,168.7
4,1.29,168.7
4,1.14,168.7
4,1.38,168.7
4,1.37,168.7
4,1.30,168.7
4,1.63,168.7
4,1.43,168.7
4,1.35,168.7
4,1.33,168.7
4,1.33,168.7
4,1.31,168.7
4,1.28,168.7
4,1.65,168.7
4,1.28,168.7
4,1.14,168.7
4,1.40,168.7
4,1.20,168.7
4,1.53,168.7
4,1.65,168.7
4,1.66,168.7
4,1.23,168.7
4,1.19,168.7
4,1.26,168.7
4,1.36,168.7
4,1.35,168.7
4,1.15,168.7
4,1.13,168.7
4,1.16,168.7
4,1.10,168.7
4,1.31,168.7
4,1.35,168.7
4,1.32,168.7
4,1.45,168.7
4,1.54,168.7
4,1.46,168.7
4,1.36,168.7
4,1.43,168.7
4,1.24,168.7
4,1.16,168.7
4,1.18,168.7
4,1.20,168.7
4,1.36,168.7
4,1.35,168.7
4,1.36,168.7
4,1.46,168.7
4,1.49,168.7
4,1.47,168.7
4,1.34,168.7
4,1.51,168.7
4,1.30,168.7
4,1.51,168.7
4,1.35,168.7
4,1.24,168.7
4,1.32,168.7
4,1.39,168.7
4,1.30,170
4,1.24,170
4,1.16,170
4,1.31,170
4,1.26,170
4,1.42,170
4,1.43,170
4,1.46,170
4,1.23,172.2
4,1.21,172.2
4,1.53,176.6
4,1.45,176.6
4,2.06,180.5
4,2.03,180.5
4,2.06,180.5
